Content,Video title,Video publish time,Comments added,Shares,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
eKJDo9aGHBk,TF2 Two Ordinary Texans veg   VEGAS Pro 14 0 2020 07 10 00 56 31,,0,0,1,3,0.0265,0,2,0
f-y1YEblnYE,{TF2} How to be a guardian angel,"Jun 20, 2016",0,0,3,20,0.1139,0,17,0
fYC7ZDa4b20,2010,"Oct 6, 2016",0,0,3,16,0.0153,0,91,1.1
fY_qqgRkmfQ,I don't have time. I wanna get back home,"Sep 7, 2017",0,0,0,10,0.0207,0,10,10
fgmqSsOvfy8,I Let My Intrusive Thoughts Win #shorts #genshinimpact #navia,"Feb 3, 2024",0,0,3,74,0.2303,1,73,4.11
gOeA5tVJ8N0,{TF2} How to kill the enemy twice,"Aug 22, 2016",0,0,3,19,0.0763,0,136,0.74
hu7c5Rf192Q,Lemme hear ya say aaaaaa #shorts #foryou #fyp,"Sep 23, 2022",0,1,67,2392,5.8534,7,1245,3.29
hxgVf15FQM4,{TF2} The SCREEMOBAND,"Oct 14, 2016",0,0,2,13,0.1013,0,133,0
i0CZnkFFAZM,Eminem feels like he's-,"Jun 19, 2022",0,0,4,37,0.0946,0,374,4.55
iWBJgqYMBhI,KAWAII YUKA-CHAN // Corpse Party Ch.3 Part 1,"Aug 28, 2016",0,0,3,25,0.4269,0,646,0.46
iimfkDy368M,I caught a spy !,"Feb 9, 2016",0,0,4,23,0.0909,0,105,0.95
iyBy-o-tBiU,Kokomi Handholding Is Yabai | Genshin Impact #shorts #genshinimpact #funny,"Jul 10, 2023",0,1,6,222,0.7055,0,482,3.11
kPMpnSLdXpA,How to defend the intelligence [ sort of......],"Feb 15, 2016",0,0,5,32,0.1009,0,217,0.46
l6lYuvaXj_8,Announcement: Going away for a while,"Jul 8, 2016",0,0,3,20,0.4174,0,131,0
lT46vud17BY,TARM- Episode #1 // Verchandise's homecoming ( 50 sub special ),"Sep 7, 2017",0,0,4,116,1.4871,0,356,1.12
m2_E89S6p20,[TF2] - Double Donk Airshot #shorts #tf2,"Jul 4, 2023",0,0,9,242,0.7002,0,318,3.14
mfjjpJzR9ro,[TF2] - How To Wombo Combo #shorts #tf2,"Jun 11, 2023",0,0,2,131,0.441,0,285,2.46
mq3L8JPL-bA,Wait for the opportune moment,,0,0,1,6,0.0313,0,31,0
n0faCpLT4is,2017,"Oct 13, 2016",0,0,3,11,0.0253,0,92,0
nY0XCzS0XIg,100 winstreak in Genshin Impact #shorts #genshinimpact,"Apr 30, 2023",0,0,6,469,1.5982,0,119,3.36
pV5AhJK28ak,21,"Sep 3, 2016",0,0,3,33,0.0609,0,93,1.08
phQpHquhAC4,Vermilion by DKD,"Aug 22, 2017",0,0,5,50,0.7147,0,249,2.81
q1u_b63aF2I,When a New Banner Comes Out | Genshin Impact #shorts #genshinimpact #funny #meme,"May 25, 2023",0,1,38,1248,3.7816,0,161,2.48
q9OouaWkklQ,When the Internet is down,"Sep 5, 2016",0,0,4,26,0.0595,0,115,0.87
rGxyK5yuHYs,[TF2] - I'm Glad This Exploit Still Exists #shorts,"May 22, 2023",0,0,1,47,0.1522,0,785,3.06
rPSN4Vhi4_0,Need your decision at something,"Jul 6, 2020",0,1,2,35,0.1621,0,540,4.07
rjiBsq3MmqY,I Am Doing TF2 SFM Commissions #shorts #tf2 #sfm,"Aug 26, 2023",0,0,6,163,0.4639,1,518,1.54
skNC-0SYSm0,DKD plays Rocket League ( w/ Sbbmckean Gaming ),"Jun 27, 2017",0,3,3,34,0.8401,0,385,1.04
tr2VPFQpbc0,FULFILLING MY DREAMS // Hot Throttle Part 2,"Jun 20, 2016",0,0,2,11,0.1684,0,181,1.66
tvZVf3OR4Rc,{TF2} Helltower Halloween contract,"Nov 1, 2016",0,0,2,48,0.9797,0,491,4.89
uqILfdAbdqE,THAT STUPID GHOST // Corpse Party Ch.2 Part 1,"Jul 3, 2016",0,0,2,13,0.6329,0,154,1.3
vEUhIqnyau8,{ Tf2 } Close call,"Aug 20, 2016",0,0,2,16,0.0564,0,26,3.85
w8yhd8mMwjI,outplay of the century,,0,0,1,4,0.0116,0,0,
yl399RgjNiU,I Main Navia Now #shorts #genshinimpact #navia,"Feb 3, 2024",0,0,8,321,1.863,0,178,3.93
