,Video title,Video publish time,Comments added,Shares,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%),Engagement,year,month,day,dayofweek,subscribers_lag_1,subscribers_lag_2,subscribers_lag_3,subscribers_lag_4,subscribers_lag_5,subscribers_lag_6,subscribers_lag_7,views_lag_1,views_lag_2,views_lag_3,views_lag_4,views_lag_5,views_lag_6,views_lag_7,subscribers_rolling_mean_7,views_rolling_mean_7
29,The rise of the Pauls but it's google translated,2017-07-05,5,0,5,493,7.1959,0,4349,2.99,10,2017.0,7.0,5.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,58.0,177.0,103.0,156.0,48.0,331.0,77.0,0.5714285714285714,195.14285714285714
30,{ TF2 } DKD destroys a hacker #2,2017-07-03,5,0,6,189,5.8331,0,646,6.66,11,2017.0,7.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,493.0,58.0,177.0,103.0,156.0,48.0,331.0,0.42857142857142855,174.85714285714286
31,*Gamer noises*,2020-07-15,5,7,15,344,0.6768,0,1312,14.94,27,2020.0,7.0,15.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,189.0,493.0,58.0,177.0,103.0,156.0,48.0,0.2857142857142857,217.14285714285714
32,DKD Destroys a Hacker - BOT Edition [200 SUB SPECIAL],2021-07-30,4,3,12,87,2.793,4,1017,4.52,19,2021.0,7.0,30.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,344.0,189.0,493.0,58.0,177.0,103.0,156.0,0.7142857142857143,207.28571428571428
33,Ay b0$$,2018-03-10,4,6,8,310,1.6905,2,4324,2.34,18,2018.0,3.0,10.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,87.0,344.0,189.0,493.0,58.0,177.0,103.0,1.0,236.85714285714286
34,{TF2} DKD destroys a trash talker #2,2016-06-23,4,0,23,934,34.2002,2,4688,9.73,27,2016.0,6.0,23.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,310.0,87.0,344.0,189.0,493.0,58.0,177.0,1.1428571428571428,345.0
35,THIS GAME IS BEYOND CREEPY // NOMED,2017-07-15,4,0,3,32,1.0365,0,1036,0.58,7,2017.0,7.0,15.0,5.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,934.0,310.0,87.0,344.0,189.0,493.0,58.0,1.1428571428571428,341.2857142857143
36,Just TF2 moments V,2018-07-08,4,0,8,132,4.8289,2,644,4.19,12,2018.0,7.0,8.0,6.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,32.0,934.0,310.0,87.0,344.0,189.0,493.0,1.4285714285714286,289.7142857142857
37,(╭☞❍Ѡ❍)╭☞ Miku-Chan in the thumbnail,2017-07-13,4,1,5,135,2.8389,0,335,2.69,10,2017.0,7.0,13.0,3.0,2.0,0.0,2.0,2.0,4.0,0.0,0.0,132.0,32.0,934.0,310.0,87.0,344.0,189.0,1.4285714285714286,282.0
38,Just TF2 moments  III,2018-01-15,4,2,5,81,2.8728,0,957,3.76,11,2018.0,1.0,15.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,0.0,135.0,132.0,32.0,934.0,310.0,87.0,344.0,1.4285714285714286,244.42857142857142
39,The Malus Soldier awaits........,2017-06-26,4,0,2,41,0.4546,0,202,0.0,6,2017.0,6.0,26.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,81.0,135.0,132.0,32.0,934.0,310.0,87.0,0.8571428571428571,237.85714285714286
40,{TF2} Two Ordinary Texans,2020-07-11,4,10,21,205,5.5552,4,1660,4.94,35,2020.0,7.0,11.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,41.0,81.0,135.0,132.0,32.0,934.0,310.0,1.1428571428571428,222.85714285714286
41,Just Relaxing by DKD,2017-07-08,4,1,5,75,0.9475,0,201,1.0,10,2017.0,7.0,8.0,5.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,205.0,41.0,81.0,135.0,132.0,32.0,934.0,0.8571428571428571,100.14285714285714
42,The Return of the Malus Soldier {Trailer},2017-08-03,4,1,7,98,1.3395,0,420,0.71,12,2017.0,8.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,75.0,205.0,41.0,81.0,135.0,132.0,32.0,0.8571428571428571,109.57142857142857
43,Stop pressing E {TF2 Voice chat},2017-08-17,4,2,7,394,6.4052,1,2552,7.56,13,2017.0,8.0,17.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,98.0,75.0,205.0,41.0,81.0,135.0,132.0,0.7142857142857143,147.0
44,SeAl DoGgO - EGG ( Official meme video ),2017-08-25,4,24,36,1254,12.77,3,16248,3.3,64,2017.0,8.0,25.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,394.0,98.0,75.0,205.0,41.0,81.0,135.0,1.1428571428571428,306.85714285714283
45,{ TF2 } DKD and Valdus VS Saxton Hale #2,2017-07-10,4,0,3,43,1.4263,0,262,0.0,7,2017.0,7.0,10.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,1254.0,394.0,98.0,75.0,205.0,41.0,81.0,1.1428571428571428,301.42857142857144
46,well..........,2017-07-18,4,0,2,34,0.2682,0,159,1.26,6,2017.0,7.0,18.0,1.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,43.0,1254.0,394.0,98.0,75.0,205.0,41.0,1.1428571428571428,300.42857142857144
47,Battlefield montage  [YazzYoussef],2018-09-01,3,1,5,36,0.3598,2,565,1.59,9,2018.0,9.0,1.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,34.0,43.0,1254.0,394.0,98.0,75.0,205.0,0.8571428571428571,276.2857142857143
48,What happened to 2fort.......,2018-07-14,3,3,11,236,6.2961,1,773,6.08,17,2018.0,7.0,14.0,5.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,36.0,34.0,43.0,1254.0,394.0,98.0,75.0,1.0,299.2857142857143
49,I'm back bois,2018-05-19,3,0,7,39,0.6827,0,1143,1.22,10,2018.0,5.0,19.0,5.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,236.0,36.0,34.0,43.0,1254.0,394.0,98.0,1.0,290.85714285714283
50,#TF2 #Podcast PainKillers Podcast #2,2020-01-08,3,1,4,43,0.3766,0,886,2.82,8,2020.0,1.0,8.0,2.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,39.0,236.0,36.0,34.0,43.0,1254.0,394.0,0.8571428571428571,240.71428571428572
51,Der Sahyoon's Face [A Parody of Der Fuhrer's Face] #freepalestine,2024-03-09,3,2,0,21,0.3274,0,1138,0.62,5,2024.0,3.0,9.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,43.0,39.0,236.0,36.0,34.0,43.0,1254.0,0.42857142857142855,64.57142857142857
52,[TF2] Heavy with a massive PP,2022-12-29,3,4,6,142,1.8745,1,5008,2.18,13,2022.0,12.0,29.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,21.0,43.0,39.0,236.0,36.0,34.0,43.0,0.5714285714285714,78.71428571428571
53,{ TF2 } How to piss someone off,2017-03-16,3,1,7,207,2.1658,0,1185,4.89,11,2017.0,3.0,16.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,142.0,21.0,43.0,39.0,236.0,36.0,34.0,0.5714285714285714,103.42857142857143
54,{ TF2 } Another montage but with unfitting music...,2017-01-13,3,0,6,134,3.1545,1,944,2.86,9,2017.0,1.0,13.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,207.0,142.0,21.0,43.0,39.0,236.0,36.0,0.42857142857142855,117.42857142857143
55,{TF2} What do you want from me ?!!!!,2017-07-21,3,1,4,29,0.2906,0,182,1.65,8,2017.0,7.0,21.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,134.0,207.0,142.0,21.0,43.0,39.0,236.0,0.2857142857142857,87.85714285714286
56,{TF2} Sniper VS Sniper // DKD destroys a hacker,2016-08-26,3,0,10,245,7.0704,2,776,6.7,13,2016.0,8.0,26.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,29.0,134.0,207.0,142.0,21.0,43.0,39.0,0.5714285714285714,117.28571428571429
57,{TF2} DKD and Valdus VS Saxton Hale #3,2017-08-08,3,0,2,50,0.7928,0,310,1.94,5,2017.0,8.0,8.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,245.0,29.0,134.0,207.0,142.0,21.0,43.0,0.5714285714285714,118.28571428571429
58,I Didn't Know Heizou Swings That Way | Genshin Impact #shorts #genshinimpact #funny,2023-07-01,3,8,107,2231,9.7803,3,704,4.69,118,2023.0,7.0,1.0,5.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,50.0,245.0,29.0,134.0,207.0,142.0,21.0,1.0,434.0
59,[TF2] Sub-classes are FUN,2022-09-18,3,2,24,448,15.969,2,11237,2.97,29,2022.0,9.0,18.0,6.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,2231.0,50.0,245.0,29.0,134.0,207.0,142.0,1.1428571428571428,477.7142857142857
60,Death From Above [A TF2 Frag Movie],2020-10-13,3,1,9,95,2.3919,0,1401,2.43,13,2020.0,10.0,13.0,1.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,448.0,2231.0,50.0,245.0,29.0,134.0,207.0,1.1428571428571428,461.7142857142857
61,#TF2 #Podcast PainKillers Podcast #1,2018-09-26,3,1,4,70,3.386,1,998,4.11,8,2018.0,9.0,26.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,95.0,448.0,2231.0,50.0,245.0,29.0,134.0,1.1428571428571428,452.57142857142856
62,"Mentlegen, I have come to say something.....",2019-05-20,3,0,2,57,0.195,0,866,3.93,5,2019.0,5.0,20.0,0.0,1.0,0.0,2.0,3.0,0.0,2.0,0.0,70.0,95.0,448.0,2231.0,50.0,245.0,29.0,1.1428571428571428,456.57142857142856
63,Facebook Icon MIDI,2017-07-18,3,0,2,60,0.2483,0,345,5.22,5,2017.0,7.0,18.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,2.0,57.0,70.0,95.0,448.0,2231.0,50.0,245.0,0.8571428571428571,430.14285714285717
64,Quitting Youtube forever,2017-04-01,3,2,3,53,0.4929,0,142,0.7,8,2017.0,4.0,1.0,5.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,60.0,57.0,70.0,95.0,448.0,2231.0,50.0,0.8571428571428571,430.57142857142856
65,#DumbKingDoughnut 100 subs QnA,2019-08-04,3,0,7,29,0.4866,0,534,3.75,10,2019.0,8.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,53.0,60.0,57.0,70.0,95.0,448.0,2231.0,0.42857142857142855,116.0
66,Hiatus,2017-12-20,3,0,5,45,0.4511,0,347,2.31,8,2017.0,12.0,20.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,29.0,53.0,60.0,57.0,70.0,95.0,448.0,0.14285714285714285,58.42857142857143
67,[TF2] - 1000 IQ Moment #shorts #tf2,2023-11-26,3,0,30,1777,8.4221,0,160,4.38,33,2023.0,11.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,29.0,53.0,60.0,57.0,70.0,95.0,0.14285714285714285,298.7142857142857
68,NO FEAR !,2017-02-11,3,0,2,26,0.1346,0,100,1.0,5,2017.0,2.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1777.0,45.0,29.0,53.0,60.0,57.0,70.0,0.0,292.42857142857144
69,{TF2} I made this montage while I was drunk,2020-07-14,3,2,9,99,1.9451,0,1065,5.26,14,2020.0,7.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1777.0,45.0,29.0,53.0,60.0,57.0,0.0,298.42857142857144
70,[TF2] This is how we do it,2017-12-31,3,0,3,102,1.0214,0,567,3.0,6,2017.0,12.0,31.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,26.0,1777.0,45.0,29.0,53.0,60.0,0.0,304.42857142857144
71,Get Panned { TF2 Montage },2016-09-22,3,1,3,64,2.1772,0,147,4.08,7,2016.0,9.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,99.0,26.0,1777.0,45.0,29.0,53.0,0.0,306.0
72,#Announcment #SFM,2018-10-10,3,0,6,75,0.4304,0,1321,2.8,9,2018.0,10.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,102.0,99.0,26.0,1777.0,45.0,29.0,0.0,312.57142857142856
73,Just TF2 moments II,2017-10-16,3,1,4,60,1.4424,0,314,0.96,8,2017.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,64.0,102.0,99.0,26.0,1777.0,45.0,0.0,314.7142857142857
74,Look at the video thumbnail,2020-10-23,2,0,3,44,0.8403,0,1149,1.91,5,2020.0,10.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,75.0,64.0,102.0,99.0,26.0,1777.0,0.0,67.14285714285714
75,THE NEW MINECRAFT // Unturned Part 1,2016-04-13,2,2,9,57,1.9488,2,104,4.81,13,2016.0,4.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,60.0,75.0,64.0,102.0,99.0,26.0,0.2857142857142857,71.57142857142857
76,{TF2} Too good for this server,2018-01-31,2,0,5,91,2.2065,1,628,7.17,7,2018.0,1.0,31.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,44.0,60.0,75.0,64.0,102.0,99.0,0.42857142857142855,70.42857142857143
77,Why Normies hate Anime (animatic),2020-10-06,2,2,8,169,1.4011,1,3121,2.21,12,2020.0,10.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,91.0,57.0,44.0,60.0,75.0,64.0,102.0,0.5714285714285714,80.0
78,Meet the COCK Soldier,2015-12-11,2,0,7,126,1.2212,1,1067,6.84,9,2015.0,12.0,11.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,169.0,91.0,57.0,44.0,60.0,75.0,64.0,0.7142857142857143,88.85714285714286
79,Short Montage of Trickstabs (w/Spy),2016-01-16,2,0,5,46,0.614,0,150,2.0,7,2016.0,1.0,16.0,5.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,126.0,169.0,91.0,57.0,44.0,60.0,75.0,0.7142857142857143,84.71428571428571
80,#DumbKingDoughnut #TF2 DKD destroys hackers #4,2019-08-08,2,3,12,125,4.8919,2,1393,5.74,17,2019.0,8.0,8.0,3.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,46.0,126.0,169.0,91.0,57.0,44.0,60.0,1.0,94.0
81,Monotone by DKD,2020-06-21,2,0,3,21,0.2518,0,633,1.58,5,2020.0,6.0,21.0,6.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,125.0,46.0,126.0,169.0,91.0,57.0,44.0,1.0,90.71428571428571
82,[SFM] He sees you when you're sleeping,2019-08-10,2,1,8,206,0.6644,2,1734,3.98,11,2019.0,8.0,10.0,5.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,21.0,125.0,46.0,126.0,169.0,91.0,57.0,1.0,112.0
83,{ TF2 } Short soldier montage,2018-02-28,2,0,6,53,0.5305,0,607,1.48,8,2018.0,2.0,28.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,206.0,21.0,125.0,46.0,126.0,169.0,91.0,0.8571428571428571,106.57142857142857
84,Beatin' Spookfest by DKD,2017-07-20,2,0,2,33,0.3002,0,201,0.5,4,2017.0,7.0,20.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,53.0,206.0,21.0,125.0,46.0,126.0,169.0,0.7142857142857143,87.14285714285714
85,What happens when an idiot plays Fall Guys,2020-09-25,2,1,10,69,2.4398,3,1035,4.06,13,2020.0,9.0,25.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,33.0,53.0,206.0,21.0,125.0,46.0,126.0,1.0,79.0
86,TARM -Episode #2 // The Arrival,2018-03-17,2,0,5,43,0.5799,0,594,1.35,7,2018.0,3.0,17.0,5.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,69.0,33.0,53.0,206.0,21.0,125.0,46.0,1.0,78.57142857142857
87,How to download photoshop Free Full Version ( NO LONGER WORKS ),2016-02-02,2,0,7,665,10.9297,0,1037,4.24,9,2016.0,2.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,43.0,69.0,33.0,53.0,206.0,21.0,125.0,0.7142857142857143,155.71428571428572
88,Funny Montage ( Best moments from 2016 ),2017-02-21,2,1,3,32,1.2085,0,119,0.84,6,2017.0,2.0,21.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,665.0,43.0,69.0,33.0,53.0,206.0,21.0,0.7142857142857143,157.28571428571428
89,Abandon Hope,2018-01-18,2,2,2,36,0.2916,0,530,2.26,6,2018.0,1.0,18.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,32.0,665.0,43.0,69.0,33.0,53.0,206.0,0.42857142857142855,133.0
90,WAT.......,2017-08-19,2,4,8,171,0.8236,0,289,3.11,14,2017.0,8.0,19.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,36.0,32.0,665.0,43.0,69.0,33.0,53.0,0.42857142857142855,149.85714285714286
91,When I try to get an airshot,2017-07-26,2,0,5,42,0.2053,0,191,2.09,7,2017.0,7.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,171.0,36.0,32.0,665.0,43.0,69.0,33.0,0.42857142857142855,151.14285714285714
92,What if every team 10 memeber had a nickname ( OFFENSIVE ),2017-08-05,2,1,6,144,1.9936,0,323,2.48,9,2017.0,8.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.0,171.0,36.0,32.0,665.0,43.0,69.0,0.0,161.85714285714286
93,DKD destroys a trash talker #8,2019-09-21,2,1,4,124,5.9948,2,1646,4.68,7,2019.0,9.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,42.0,171.0,36.0,32.0,665.0,43.0,0.2857142857142857,173.42857142857142
94,{ TF2 } Market gardening but with a whip ( w/Valdus ),2017-07-17,2,1,5,54,1.718,0,298,4.36,8,2017.0,7.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,144.0,42.0,171.0,36.0,32.0,665.0,0.2857142857142857,86.14285714285714
